date,Station,phyto
2022-10-18 00:00:00.000000000,POR2,280
2022-10-25 00:00:00.000000000,POR2,240
2022-11-02 00:00:00.000000000,POR2,20
2022-11-08 00:00:00.000000000,POR2,20
2022-11-22 00:00:00.000000000,POR2,20
2022-12-06 00:00:00.000000000,POR2,20
2022-12-20 00:00:00.000000000,POR2,20
2023-01-03 00:00:00.000000000,POR2,20
2023-01-09 00:00:00.000000000,POR2,20
2023-01-17 00:00:00.000000000,POR2,20
2023-01-24 00:00:00.000000000,POR2,40
2023-01-31 00:00:00.000000000,POR2,20
2023-02-07 00:00:00.000000000,POR2,20
2023-02-15 00:00:00.000000000,POR2,20
2023-02-20 00:00:00.000000000,POR2,40
2023-02-28 00:00:00.000000000,POR2,20
2023-03-07 00:00:00.000000000,POR2,20
2023-03-14 00:00:00.000000000,POR2,20
2023-03-21 00:00:00.000000000,POR2,20
2023-03-28 00:00:00.000000000,POR2,20
2023-04-04 00:00:00.000000000,POR2,20
2023-04-11 00:00:00.000000000,POR2,200
2023-04-19 00:00:00.000000000,POR2,120
2023-05-09 00:00:00.000000000,POR2,80
2023-05-22 00:00:00.000000000,POR2,4480
2023-05-31 00:00:00.000000000,POR2,20
2023-06-13 00:00:00.000000000,POR2,20
2023-06-20 00:00:00.000000000,POR2,20
2023-06-27 00:00:00.000000000,POR2,20
2023-08-01 00:00:00.000000000,POR2,40
2023-08-08 00:00:00.000000000,POR2,20
2023-08-17 00:00:00.000000000,POR2,20
2023-08-22 00:00:00.000000000,POR2,20
2023-08-29 00:00:00.000000000,POR2,20
2023-09-12 00:00:00.000000000,POR2,20
2023-09-12 00:00:00.000000000,POR2,20
2023-09-18 00:00:00.000000000,POR2,20
2023-09-26 00:00:00.000000000,POR2,20
2023-10-02 00:00:00.000000000,POR2,20
2023-10-10 00:00:00.000000000,POR2,20
2023-10-16 00:00:00.000000000,POR2,20
2023-10-24 00:00:00.000000000,POR2,20
2023-11-21 00:00:00.000000000,POR2,40
2023-11-28 00:00:00.000000000,POR2,20
2023-12-12 00:00:00.000000000,POR2,40
2023-12-19 00:00:00.000000000,POR2,120
2024-01-09 00:00:00.000000000,POR2,20
2024-01-23 00:00:00.000000000,POR2,20
2024-02-06 00:00:00.000000000,POR2,20
2024-02-20 00:00:00.000000000,POR2,20
2024-02-27 00:00:00.000000000,POR2,20
2024-03-05 00:00:00.000000000,POR2,20
2024-03-12 00:00:00.000000000,POR2,20
2024-03-19 00:00:00.000000000,POR2,20
2024-03-26 00:00:00.000000000,POR2,20
2024-04-02 00:00:00.000000000,POR2,20
2024-04-09 00:00:00.000000000,POR2,40
2024-05-07 00:00:00.000000000,POR2,20
2024-05-14 00:00:00.000000000,POR2,20
2024-05-21 00:00:00.000000000,POR2,20
2024-06-04 00:00:00.000000000,POR2,120
2024-07-02 00:00:00.000000000,POR2,40
2024-07-08 00:00:00.000000000,POR2,20
2024-07-16 00:00:00.000000000,POR2,80
2024-07-23 00:00:00.000000000,POR2,560
2024-08-06 00:00:00.000000000,POR2,40
2024-08-13 00:00:00.000000000,POR2,20
2024-08-20 00:00:00.000000000,POR2,40
2024-08-27 00:00:00.000000000,POR2,120
2024-09-03 00:00:00.000000000,POR2,40
2024-09-24 00:00:00.000000000,POR2,400
2024-10-01 00:00:00.000000000,POR2,160
2024-10-15 00:00:00.000000000,POR2,20
2024-10-22 00:00:00.000000000,POR2,800
2024-11-05 00:00:00.000000000,POR2,20
2024-11-12 00:00:00.000000000,POR2,280
2024-11-19 00:00:00.000000000,POR2,6350
2024-11-26 00:00:00.000000000,POR2,960
2024-12-03 00:00:00.000000000,POR2,400
2024-12-10 00:00:00.000000000,POR2,120
2024-12-17 00:00:00.000000000,POR2,240
2025-01-07 00:00:00.000000000,POR2,20
2025-01-14 00:00:00.000000000,POR2,20
2025-01-21 00:00:00.000000000,POR2,20
2025-01-28 00:00:00.000000000,POR2,20
2025-02-11 00:00:00.000000000,POR2,20
2025-02-25 00:00:00.000000000,POR2,20
2025-03-11 00:00:00.000000000,POR2,20
2025-03-18 00:00:00.000000000,POR2,20
2025-03-25 00:00:00.000000000,POR2,80
2025-04-08 00:00:00.000000000,POR2,200
2025-04-15 00:00:00.000000000,POR2,320
2025-05-06 00:00:00.000000000,POR2,20
2025-05-13 00:00:00.000000000,POR2,20
2025-05-27 00:00:00.000000000,POR2,80
2025-06-03 00:00:00.000000000,POR2,20
2025-06-12 00:00:00.000000000,POR2,200
2025-06-17 00:00:00.000000000,POR2,160
2025-06-24 00:00:00.000000000,POR2,440
2025-07-08 00:00:00.000000000,POR2,40
2025-07-22 00:00:00.000000000,POR2,20
2025-08-25 00:00:00.000000000,POR2,360
2025-09-09 00:00:00.000000000,POR2,160
2025-09-16 00:00:00.000000000,POR2,20
2025-09-23 00:00:00.000000000,POR2,40
2025-09-30 00:00:00.000000000,POR2,20
2025-10-07 00:00:00.000000000,POR2,240
2025-10-21 00:00:00.000000000,POR2,80
2025-11-04 00:00:00.000000000,POR2,80
2025-11-18 00:00:00.000000000,POR2,20
2025-11-25 00:00:00.000000000,POR2,40
2025-12-02 00:00:00.000000000,POR2,20
2025-12-16 00:00:00.000000000,POR2,20
1970-01-01 00:00:00.000045805,RIAV1,160
2021-01-13 00:00:00.000000000,RIAV1,20
2021-01-18 00:00:00.000000000,RIAV1,20
2021-01-27 00:00:00.000000000,RIAV1,20
2021-02-01 00:00:00.000000000,RIAV1,20
2021-02-08 00:00:00.000000000,RIAV1,20
2021-02-15 00:00:00.000000000,RIAV1,20
2021-02-22 00:00:00.000000000,RIAV1,40
2021-02-22 00:00:00.000000000,RIAV1,20
2021-03-01 00:00:00.000000000,RIAV1,820
2021-03-08 00:00:00.000000000,RIAV1,560
2021-03-15 00:00:00.000000000,RIAV1,20
2021-03-22 00:00:00.000000000,RIAV1,80
2021-03-22 00:00:00.000000000,RIAV1,20
2021-03-29 00:00:00.000000000,RIAV1,20
2021-04-07 00:00:00.000000000,RIAV1,4920
2021-04-12 00:00:00.000000000,RIAV1,20
2021-04-20 00:00:00.000000000,RIAV1,1640
2021-04-20 00:00:00.000000000,RIAV1,20
2021-04-27 00:00:00.000000000,RIAV1,60
2021-05-04 00:00:00.000000000,RIAV1,1640
2021-05-11 00:00:00.000000000,RIAV1,22960
2021-05-17 00:00:00.000000000,RIAV1,3280
2021-05-18 00:00:00.000000000,RIAV1,20
2021-05-25 00:00:00.000000000,RIAV1,600
2021-05-31 00:00:00.000000000,RIAV1,300
2021-06-07 00:00:00.000000000,RIAV1,980
2021-06-08 00:00:00.000000000,RIAV1,240
2021-06-14 00:00:00.000000000,RIAV1,140
2021-06-22 00:00:00.000000000,RIAV1,60
2021-06-28 00:00:00.000000000,RIAV1,41280
2021-07-06 00:00:00.000000000,RIAV1,1660
2021-07-13 00:00:00.000000000,RIAV1,26040
2021-07-20 00:00:00.000000000,RIAV1,27360
2021-07-20 00:00:00.000000000,RIAV1,5400
2021-07-27 00:00:00.000000000,RIAV1,360
2021-08-02 00:00:00.000000000,RIAV1,240
2021-08-10 00:00:00.000000000,RIAV1,145360
2021-08-16 00:00:00.000000000,RIAV1,555480
2021-08-16 00:00:00.000000000,RIAV1,537376
2021-08-23 00:00:00.000000000,RIAV1,2733300
2021-08-23 00:00:00.000000000,RIAV1,3655424
2021-09-01 00:00:00.000000000,RIAV1,11240
2021-09-01 00:00:00.000000000,RIAV1,1560
2021-09-06 00:00:00.000000000,RIAV1,820
2021-09-06 00:00:00.000000000,RIAV1,840
2021-09-15 00:00:00.000000000,RIAV1,120
2021-09-15 00:00:00.000000000,RIAV1,20
2021-09-22 00:00:00.000000000,RIAV1,100
2021-09-28 00:00:00.000000000,RIAV1,20
2021-10-06 00:00:00.000000000,RIAV1,100
2021-10-13 00:00:00.000000000,RIAV1,40
2021-10-19 00:00:00.000000000,RIAV1,320
2021-10-25 00:00:00.000000000,RIAV1,120
2021-11-03 00:00:00.000000000,RIAV1,80
2021-11-08 00:00:00.000000000,RIAV1,60
2021-11-08 00:00:00.000000000,RIAV1,20
2021-11-17 00:00:00.000000000,RIAV1,40
2021-11-17 00:00:00.000000000,RIAV1,20
2021-11-23 00:00:00.000000000,RIAV1,20
2021-11-24 00:00:00.000000000,RIAV1,20
2021-11-29 00:00:00.000000000,RIAV1,20
2021-11-29 00:00:00.000000000,RIAV1,20
2021-12-06 00:00:00.000000000,RIAV1,20
2021-12-13 00:00:00.000000000,RIAV1,20
2021-12-21 00:00:00.000000000,RIAV1,20
2021-12-27 00:00:00.000000000,RIAV1,20
2022-01-05 00:00:00.000000000,RIAV1,20
2022-01-26 00:00:00.000000000,RIAV1,40
2022-02-09 00:00:00.000000000,RIAV1,20
2022-02-16 00:00:00.000000000,RIAV1,40
2022-02-16 00:00:00.000000000,RIAV1,100
2022-02-22 00:00:00.000000000,RIAV1,20
2022-02-28 00:00:00.000000000,RIAV1,20
2022-02-28 00:00:00.000000000,RIAV1,20
2022-03-08 00:00:00.000000000,RIAV1,20
2022-03-15 00:00:00.000000000,RIAV1,40
2022-03-16 00:00:00.000000000,RIAV1,20
2022-03-22 00:00:00.000000000,RIAV1,100
2022-03-29 00:00:00.000000000,RIAV1,740
2022-03-29 00:00:00.000000000,RIAV1,440
2022-04-05 00:00:00.000000000,RIAV1,40
2022-04-11 00:00:00.000000000,RIAV1,20
2022-04-12 00:00:00.000000000,RIAV1,20
2022-04-19 00:00:00.000000000,RIAV1,20
2022-04-27 00:00:00.000000000,RIAV1,20
2022-05-03 00:00:00.000000000,RIAV1,20
2022-05-09 00:00:00.000000000,RIAV1,20
2022-05-09 00:00:00.000000000,RIAV1,20
2022-05-17 00:00:00.000000000,RIAV1,120
2022-05-24 00:00:00.000000000,RIAV1,20
2022-05-25 00:00:00.000000000,RIAV1,460
2022-06-01 00:00:00.000000000,RIAV1,20
2022-06-08 00:00:00.000000000,RIAV1,20
2022-06-14 00:00:00.000000000,RIAV1,300
2022-06-20 00:00:00.000000000,RIAV1,200
2022-06-22 00:00:00.000000000,RIAV1,240
2022-06-29 00:00:00.000000000,RIAV1,23370
2022-07-06 00:00:00.000000000,RIAV1,100
2022-07-12 00:00:00.000000000,RIAV1,5280
2022-07-20 00:00:00.000000000,RIAV1,320
2022-07-26 00:00:00.000000000,RIAV1,280
2022-07-27 00:00:00.000000000,RIAV1,680
2022-08-03 00:00:00.000000000,RIAV1,480
2022-08-09 00:00:00.000000000,RIAV1,200
2022-08-10 00:00:00.000000000,RIAV1,180
2022-08-16 00:00:00.000000000,RIAV1,4800
2022-08-23 00:00:00.000000000,RIAV1,280
2022-08-23 00:00:00.000000000,RIAV1,240
2022-08-30 00:00:00.000000000,RIAV1,80
2022-08-30 00:00:00.000000000,RIAV1,740
2022-09-07 00:00:00.000000000,RIAV1,160
2022-09-07 00:00:00.000000000,RIAV1,240
2022-09-13 00:00:00.000000000,RIAV1,20
2022-09-21 00:00:00.000000000,RIAV1,20
2022-09-27 00:00:00.000000000,RIAV1,40
2022-09-28 00:00:00.000000000,RIAV1,180
2022-10-03 00:00:00.000000000,RIAV1,20
2022-10-11 00:00:00.000000000,RIAV1,20
2022-10-12 00:00:00.000000000,RIAV1,40
2022-10-19 00:00:00.000000000,RIAV1,20
2022-10-25 00:00:00.000000000,RIAV1,640
2022-10-26 00:00:00.000000000,RIAV1,20
2022-11-02 00:00:00.000000000,RIAV1,20
2022-11-07 00:00:00.000000000,RIAV1,20
2022-11-09 00:00:00.000000000,RIAV1,60
2022-11-14 00:00:00.000000000,RIAV1,20
2022-11-21 00:00:00.000000000,RIAV1,20
2022-11-22 00:00:00.000000000,RIAV1,20
2022-11-28 00:00:00.000000000,RIAV1,20
2022-12-06 00:00:00.000000000,RIAV1,20
2022-12-06 00:00:00.000000000,RIAV1,20
2022-12-13 00:00:00.000000000,RIAV1,20
2022-12-20 00:00:00.000000000,RIAV1,20
2022-12-21 00:00:00.000000000,RIAV1,20
2022-12-27 00:00:00.000000000,RIAV1,20
2023-01-03 00:00:00.000000000,RIAV1,20
2023-01-04 00:00:00.000000000,RIAV1,40
2023-01-10 00:00:00.000000000,RIAV1,20
2023-01-17 00:00:00.000000000,RIAV1,20
2023-01-17 00:00:00.000000000,RIAV1,20
2023-01-23 00:00:00.000000000,RIAV1,20
2023-01-25 00:00:00.000000000,RIAV1,20
2023-01-31 00:00:00.000000000,RIAV1,20
2023-01-31 00:00:00.000000000,RIAV1,20
2023-02-06 00:00:00.000000000,RIAV1,20
2023-02-08 00:00:00.000000000,RIAV1,20
2023-02-14 00:00:00.000000000,RIAV1,20
2023-02-15 00:00:00.000000000,RIAV1,20
2023-02-22 00:00:00.000000000,RIAV1,20
2023-02-23 00:00:00.000000000,RIAV1,20
2023-02-28 00:00:00.000000000,RIAV1,20
2023-03-07 00:00:00.000000000,RIAV1,40
2023-03-08 00:00:00.000000000,RIAV1,20
2023-03-13 00:00:00.000000000,RIAV1,80
2023-03-21 00:00:00.000000000,RIAV1,20
2023-03-29 00:00:00.000000000,RIAV1,20
2023-03-29 00:00:00.000000000,RIAV1,160
2023-04-03 00:00:00.000000000,RIAV1,40
2023-04-11 00:00:00.000000000,RIAV1,40
2023-04-18 00:00:00.000000000,RIAV1,20
2023-04-19 00:00:00.000000000,RIAV1,20
2023-04-27 00:00:00.000000000,RIAV1,80
2023-04-28 00:00:00.000000000,RIAV1,20
2023-05-02 00:00:00.000000000,RIAV1,140
2023-05-04 00:00:00.000000000,RIAV1,40
2023-05-09 00:00:00.000000000,RIAV1,20
2023-05-15 00:00:00.000000000,RIAV1,20
2023-05-17 00:00:00.000000000,RIAV1,20
2023-05-23 00:00:00.000000000,RIAV1,40
2023-05-31 00:00:00.000000000,RIAV1,500
2023-06-05 00:00:00.000000000,RIAV1,200
2023-06-14 00:00:00.000000000,RIAV1,20
2023-06-14 00:00:00.000000000,RIAV1,20
2023-06-20 00:00:00.000000000,RIAV1,40
2023-06-21 00:00:00.000000000,RIAV1,20
2023-06-28 00:00:00.000000000,RIAV1,160
2023-06-28 00:00:00.000000000,RIAV1,60
2023-08-09 00:00:00.000000000,RIAV1,300
2023-08-16 00:00:00.000000000,RIAV1,1180
2023-08-22 00:00:00.000000000,RIAV1,180
2023-08-28 00:00:00.000000000,RIAV1,120
2023-08-30 00:00:00.000000000,RIAV1,680
2023-09-05 00:00:00.000000000,RIAV1,280
2023-09-11 00:00:00.000000000,RIAV1,840
2023-09-12 00:00:00.000000000,RIAV1,1820
2023-09-18 00:00:00.000000000,RIAV1,160
2023-09-19 00:00:00.000000000,RIAV1,80
2023-09-25 00:00:00.000000000,RIAV1,40
2023-09-26 00:00:00.000000000,RIAV1,240
2023-10-02 00:00:00.000000000,RIAV1,140
2023-10-09 00:00:00.000000000,RIAV1,60
2023-11-14 00:00:00.000000000,RIAV1,20
2023-11-22 00:00:00.000000000,RIAV1,20
2023-11-28 00:00:00.000000000,RIAV1,20
2023-12-05 00:00:00.000000000,RIAV1,20
2023-12-05 00:00:00.000000000,RIAV1,20
2023-12-12 00:00:00.000000000,RIAV1,20
2023-12-12 00:00:00.000000000,RIAV1,20
2023-12-19 00:00:00.000000000,RIAV1,20
2023-12-20 00:00:00.000000000,RIAV1,20
2023-12-27 00:00:00.000000000,RIAV1,20
2024-01-04 00:00:00.000000000,RIAV1,20
2024-01-09 00:00:00.000000000,RIAV1,20
2024-01-09 00:00:00.000000000,RIAV1,20
2024-01-15 00:00:00.000000000,RIAV1,20
2024-01-23 00:00:00.000000000,RIAV1,20
2024-01-24 00:00:00.000000000,RIAV1,20
2024-01-30 00:00:00.000000000,RIAV1,40
2024-02-05 00:00:00.000000000,RIAV1,40
2024-02-07 00:00:00.000000000,RIAV1,520
2024-02-12 00:00:00.000000000,RIAV1,20
2024-02-14 00:00:00.000000000,RIAV1,60
2024-02-20 00:00:00.000000000,RIAV1,20
2024-02-20 00:00:00.000000000,RIAV1,400
2024-02-26 00:00:00.000000000,RIAV1,20
2024-02-28 00:00:00.000000000,RIAV1,20
2024-03-06 00:00:00.000000000,RIAV1,20
2024-03-11 00:00:00.000000000,RIAV1,20
2024-03-12 00:00:00.000000000,RIAV1,20
2024-03-20 00:00:00.000000000,RIAV1,20
2024-03-20 00:00:00.000000000,RIAV1,20
2024-04-03 00:00:00.000000000,RIAV1,20
2024-04-03 00:00:00.000000000,RIAV1,20
2024-04-08 00:00:00.000000000,RIAV1,20
2024-04-10 00:00:00.000000000,RIAV1,20
2024-04-17 00:00:00.000000000,RIAV1,20
2024-04-17 00:00:00.000000000,RIAV1,20
2024-04-22 00:00:00.000000000,RIAV1,20
2024-04-22 00:00:00.000000000,RIAV1,20
2024-04-29 00:00:00.000000000,RIAV1,20
2024-05-06 00:00:00.000000000,RIAV1,40
2024-05-08 00:00:00.000000000,RIAV1,760
2024-05-14 00:00:00.000000000,RIAV1,360
2024-05-14 00:00:00.000000000,RIAV1,200
2024-05-22 00:00:00.000000000,RIAV1,400
2024-05-22 00:00:00.000000000,RIAV1,300
2024-05-27 00:00:00.000000000,RIAV1,20
2024-06-03 00:00:00.000000000,RIAV1,320
2024-06-05 00:00:00.000000000,RIAV1,160
2024-06-11 00:00:00.000000000,RIAV1,20
2024-06-19 00:00:00.000000000,RIAV1,120
2024-06-19 00:00:00.000000000,RIAV1,20
2024-06-24 00:00:00.000000000,RIAV1,160
2024-06-26 00:00:00.000000000,RIAV1,880
2024-07-02 00:00:00.000000000,RIAV1,360
2024-07-03 00:00:00.000000000,RIAV1,5360
2024-07-08 00:00:00.000000000,RIAV1,1300
2024-07-08 00:00:00.000000000,RIAV1,2640
2024-07-10 00:00:00.000000000,RIAV1,540
2024-07-15 00:00:00.000000000,RIAV1,20
2024-07-15 00:00:00.000000000,RIAV1,20
2024-07-22 00:00:00.000000000,RIAV1,2480
2024-07-31 00:00:00.000000000,RIAV1,100
2024-07-31 00:00:00.000000000,RIAV1,20
2024-08-06 00:00:00.000000000,RIAV1,1960
2024-08-06 00:00:00.000000000,RIAV1,1100
2024-08-13 00:00:00.000000000,RIAV1,120
2024-08-13 00:00:00.000000000,RIAV1,240
2024-08-20 00:00:00.000000000,RIAV1,320
2024-08-21 00:00:00.000000000,RIAV1,720
2024-08-28 00:00:00.000000000,RIAV1,880
2024-09-04 00:00:00.000000000,RIAV1,600
2024-09-11 00:00:00.000000000,RIAV1,80
2024-09-11 00:00:00.000000000,RIAV1,120
2024-09-18 00:00:00.000000000,RIAV1,60
2024-09-25 00:00:00.000000000,RIAV1,20
2024-10-02 00:00:00.000000000,RIAV1,40
2024-10-02 00:00:00.000000000,RIAV1,20
2024-10-07 00:00:00.000000000,RIAV1,20
2024-10-15 00:00:00.000000000,RIAV1,20
2024-10-16 00:00:00.000000000,RIAV1,100
2024-10-21 00:00:00.000000000,RIAV1,100
2024-10-29 00:00:00.000000000,RIAV1,20
2024-10-29 00:00:00.000000000,RIAV1,20
2024-11-05 00:00:00.000000000,RIAV1,20
2024-11-06 00:00:00.000000000,RIAV1,20
2024-11-12 00:00:00.000000000,RIAV1,80
2024-11-12 00:00:00.000000000,RIAV1,20
2024-11-18 00:00:00.000000000,RIAV1,20
2024-11-19 00:00:00.000000000,RIAV1,20
2024-11-26 00:00:00.000000000,RIAV1,20
2024-11-26 00:00:00.000000000,RIAV1,20
2024-12-02 00:00:00.000000000,RIAV1,20
2024-12-04 00:00:00.000000000,RIAV1,20
2024-12-10 00:00:00.000000000,RIAV1,20
2024-12-16 00:00:00.000000000,RIAV1,20
2024-12-18 00:00:00.000000000,RIAV1,20
2025-01-08 00:00:00.000000000,RIAV1,20
2025-01-14 00:00:00.000000000,RIAV1,20
2025-01-15 00:00:00.000000000,RIAV1,20
2025-01-22 00:00:00.000000000,RIAV1,40
2025-01-22 00:00:00.000000000,RIAV1,20
2025-01-28 00:00:00.000000000,RIAV1,20
2025-01-28 00:00:00.000000000,RIAV1,20
2025-02-03 00:00:00.000000000,RIAV1,20
2025-02-05 00:00:00.000000000,RIAV1,20
2025-02-12 00:00:00.000000000,RIAV1,20
2025-02-18 00:00:00.000000000,RIAV1,20
2025-02-25 00:00:00.000000000,RIAV1,80
2025-02-26 00:00:00.000000000,RIAV1,60
2025-03-03 00:00:00.000000000,RIAV1,20
2025-03-03 00:00:00.000000000,RIAV1,20
2025-03-10 00:00:00.000000000,RIAV1,20
2025-03-12 00:00:00.000000000,RIAV1,20
2025-03-17 00:00:00.000000000,RIAV1,20
2025-03-18 00:00:00.000000000,RIAV1,40
2025-03-25 00:00:00.000000000,RIAV1,80
2025-03-26 00:00:00.000000000,RIAV1,20
2025-03-31 00:00:00.000000000,RIAV1,20
2025-04-01 00:00:00.000000000,RIAV1,20
2025-04-08 00:00:00.000000000,RIAV1,20
2025-04-09 00:00:00.000000000,RIAV1,20
2025-04-15 00:00:00.000000000,RIAV1,60
2025-04-22 00:00:00.000000000,RIAV1,80
2025-04-22 00:00:00.000000000,RIAV1,280
2025-04-29 00:00:00.000000000,RIAV1,20
2025-04-29 00:00:00.000000000,RIAV1,20
2025-05-06 00:00:00.000000000,RIAV1,20
2025-05-07 00:00:00.000000000,RIAV1,20
2025-05-13 00:00:00.000000000,RIAV1,40
2025-05-14 00:00:00.000000000,RIAV1,380
2025-05-21 00:00:00.000000000,RIAV1,400
2025-05-21 00:00:00.000000000,RIAV1,260
2025-05-26 00:00:00.000000000,RIAV1,40
2025-06-04 00:00:00.000000000,RIAV1,20
2025-06-04 00:00:00.000000000,RIAV1,280
2025-06-09 00:00:00.000000000,RIAV1,160
2025-06-11 00:00:00.000000000,RIAV1,80
2025-06-16 00:00:00.000000000,RIAV1,300
2025-06-23 00:00:00.000000000,RIAV1,840
2025-06-25 00:00:00.000000000,RIAV1,20
2025-07-01 00:00:00.000000000,RIAV1,200
2025-07-02 00:00:00.000000000,RIAV1,20
2025-07-07 00:00:00.000000000,RIAV1,680
2025-07-09 00:00:00.000000000,RIAV1,340
2025-07-14 00:00:00.000000000,RIAV1,1180
2025-07-22 00:00:00.000000000,RIAV1,440
2025-07-23 00:00:00.000000000,RIAV1,1380
2025-07-29 00:00:00.000000000,RIAV1,840
2025-07-30 00:00:00.000000000,RIAV1,880
2025-08-05 00:00:00.000000000,RIAV1,2920
2025-08-06 00:00:00.000000000,RIAV1,440
2025-08-11 00:00:00.000000000,RIAV1,440
2025-08-20 00:00:00.000000000,RIAV1,380
2025-08-27 00:00:00.000000000,RIAV1,920
2025-08-27 00:00:00.000000000,RIAV1,1600
2025-09-03 00:00:00.000000000,RIAV1,200
2025-09-08 00:00:00.000000000,RIAV1,200
2025-09-10 00:00:00.000000000,RIAV1,580
2025-09-17 00:00:00.000000000,RIAV1,2020
2025-09-17 00:00:00.000000000,RIAV1,1240
2025-09-22 00:00:00.000000000,RIAV1,200
2025-09-23 00:00:00.000000000,RIAV1,180
2025-10-01 00:00:00.000000000,RIAV1,80
2025-10-01 00:00:00.000000000,RIAV1,140
2025-10-07 00:00:00.000000000,RIAV1,40
2025-10-08 00:00:00.000000000,RIAV1,760
2025-10-15 00:00:00.000000000,RIAV1,40
2025-10-15 00:00:00.000000000,RIAV1,1400
2025-10-20 00:00:00.000000000,RIAV1,960
2025-10-21 00:00:00.000000000,RIAV1,1040
2025-10-28 00:00:00.000000000,RIAV1,40
2025-10-28 00:00:00.000000000,RIAV1,20
2025-11-03 00:00:00.000000000,RIAV1,40
2025-11-05 00:00:00.000000000,RIAV1,20
2025-11-10 00:00:00.000000000,RIAV1,20
2025-11-18 00:00:00.000000000,RIAV1,20
2025-11-19 00:00:00.000000000,RIAV1,20
2025-11-25 00:00:00.000000000,RIAV1,20
2025-11-26 00:00:00.000000000,RIAV1,20
2025-12-03 00:00:00.000000000,RIAV1,20
2025-12-03 00:00:00.000000000,RIAV1,20
2025-12-09 00:00:00.000000000,RIAV1,20
2025-12-17 00:00:00.000000000,RIAV1,20
2025-12-17 00:00:00.000000000,RIAV1,20
2025-12-29 00:00:00.000000000,RIAV1,20
