date,site,phyto
2022-01-03,L7c1,280
2022-01-03,L5b,20
2022-01-03,FAR1,20
2022-01-04,LAL,1280
2022-01-04,L5b,20
2022-01-04,ETJ1,20
2022-01-04,POR2,20
2022-01-04,LAG,20
2022-01-05,RIAV1,20
2022-01-10,L7c1,20
2022-01-10,FAR1,80
2022-01-10,ETJ1,20
2022-01-10,LAL,120
2022-01-10,L5b,20
2022-01-11,POR2,20
2022-01-11,LAG,20
2022-01-17,FAR1,20
2022-01-17,L7c1,20
2022-01-17,L5b,20
2022-01-18,POR2,160
2022-01-18,LAL,80
2022-01-18,L5b,20
2022-01-18,ETJ1,20
2022-01-18,LAG,20
2022-01-24,L7c1,20
2022-01-24,L5b,20
2022-01-24,ETJ1,20
2022-01-24,LAL,40
2022-01-25,LAG,80
2022-01-25,POR2,20
2022-01-26,FAR1,20
2022-01-26,RIAV1,40
2022-01-31,L7c1,20
2022-01-31,FAR1,20
2022-02-01,LAG,20
2022-02-01,L5b,20
2022-02-01,POR2,20
2022-02-01,ETJ1,20
2022-02-01,LAL,240
2022-02-07,FAR1,20
2022-02-07,LAL,400
2022-02-07,ETJ1,20
2022-02-07,L5b,20
2022-02-07,L7c1,20
2022-02-08,LAG,20
2022-02-09,RIAV1,20
2022-02-14,L7c1,20
2022-02-14,L5b,220
2022-02-15,POR2,80
2022-02-16,LAL,80
2022-02-16,ETJ1,20
2022-02-16,L5b,20
2022-02-16,RIAV1,40
2022-02-16,FAR1,40
2022-02-16,RIAV1,100
2022-02-21,LAG,20
2022-02-21,FAR1,20
2022-02-21,L7c1,20
2022-02-22,RIAV1,20
2022-02-24,LAL,20
2022-02-24,L5b,20
2022-02-28,RIAV1,20
2022-02-28,LAL,120
2022-02-28,L5b,20
2022-02-28,ETJ1,20
2022-02-28,L5b,20
2022-02-28,RIAV1,20
2022-03-07,FAR1,20
2022-03-07,L7c1,20
2022-03-08,RIAV1,20
2022-03-09,LAL,20
2022-03-09,ETJ1,20
2022-03-09,L5b,20
2022-03-15,RIAV1,40
2022-03-15,L7c1,20
2022-03-16,RIAV1,20
2022-03-16,ETJ1,20
2022-03-16,LAL,20
2022-03-16,L5b,20
2022-03-17,L5b,20
2022-03-22,RIAV1,100
2022-03-22,LAL,20
2022-03-22,L5b,20
2022-03-22,ETJ1,20
2022-03-23,L7c1,280
2022-03-28,FAR1,20
2022-03-29,LAG,20
2022-03-29,RIAV1,740
2022-03-29,RIAV1,440
2022-03-29,POR2,40
2022-03-30,LAL,20
2022-03-30,ETJ1,20
2022-03-30,L5b,160
2022-03-31,L5b,20
2022-04-04,LAG,20
2022-04-05,FAR1,20
2022-04-05,RIAV1,40
2022-04-06,ETJ1,20
2022-04-06,LAL,20
2022-04-06,L5b,20
2022-04-11,L5b,20
2022-04-11,LAL,20
2022-04-11,ETJ1,20
2022-04-11,RIAV1,20
2022-04-11,FAR1,20
2022-04-12,RIAV1,20
2022-04-12,LAG,20
2022-04-14,L5b,60
2022-04-18,LAG,20
2022-04-18,L7c1,20
2022-04-18,POR2,80
2022-04-19,ETJ1,20
2022-04-19,LAL,20
2022-04-19,L5b,20
2022-04-19,RIAV1,20
2022-04-20,FAR1,20
2022-04-25,L7c1,300
2022-04-26,POR2,20
2022-04-26,LAG,20
2022-04-26,LAL,20
2022-04-26,L5b,80
2022-04-27,RIAV1,20
2022-04-27,FAR1,40
2022-04-27,L5b,740
2022-04-27,ETJ1,20
2022-05-02,LAG,20
2022-05-02,POR2,20
2022-05-02,FAR1,80
2022-05-03,L7c1,80
2022-05-03,RIAV1,20
2022-05-03,L5b,20
2022-05-03,ETJ1,20
2022-05-03,LAL,20
2022-05-09,RIAV1,20
2022-05-09,RIAV1,20
2022-05-10,LAL,20
2022-05-10,L5b,400
2022-05-10,ETJ1,20
2022-05-10,L7c1,120
2022-05-10,LAG,40
2022-05-10,POR2,20
2022-05-11,FAR1,20
2022-05-13,L5b,20
2022-05-16,L7c1,20
2022-05-17,LAG,20
2022-05-17,RIAV1,120
2022-05-17,POR2,20
2022-05-17,ETJ1,20
2022-05-17,LAL,20
2022-05-17,L5b,20
2022-05-18,FAR1,20
2022-05-24,L7c1,340
2022-05-24,LAG,20
2022-05-24,POR2,20
2022-05-24,RIAV1,20
2022-05-25,LAL,20
2022-05-25,L5b,20
2022-05-25,ETJ1,560
2022-05-25,FAR1,20
2022-05-25,RIAV1,460
2022-05-26,L5b,20
2022-05-30,FAR1,20
2022-05-31,LAG,160
2022-05-31,POR2,80
2022-05-31,L7c1,1700
2022-06-01,LAL,20
2022-06-01,L5b,100
2022-06-01,ETJ1,60
2022-06-01,RIAV1,20
2022-06-06,LAL,200
2022-06-06,L5b,60
2022-06-07,L7c1,320
2022-06-07,LAG,20
2022-06-08,RIAV1,20
2022-06-08,FAR1,20
2022-06-14,LAG,120
2022-06-14,POR2,80
2022-06-14,RIAV1,300
2022-06-14,L5b,140
2022-06-14,LAL,120
2022-06-14,L5b,60
2022-06-14,ETJ1,180
2022-06-20,RIAV1,200
2022-06-20,LAL,20
2022-06-21,LAG,20
2022-06-21,L7c1,60
2022-06-22,L5b,120
2022-06-22,ETJ1,300
2022-06-22,RIAV1,240
2022-06-22,FAR1,200
2022-06-27,FAR1,20
2022-06-28,LAG,20
2022-06-28,POR2,20
2022-06-28,L7c1,20
2022-06-29,RIAV1,23370
2022-06-29,ETJ1,20
2022-06-29,L5b,200
2022-06-29,LAL,40
2022-07-04,L5b,20
2022-07-04,LAL,80
2022-07-04,ETJ1,60
2022-07-04,FAR1,20
2022-07-05,POR2,20
2022-07-05,LAG,20
2022-07-05,L7c1,20
2022-07-06,RIAV1,100
2022-07-11,LAL,20
2022-07-11,L5b,60
2022-07-11,ETJ1,320
2022-07-12,RIAV1,5280
2022-07-12,POR2,40
2022-07-12,LAG,160
2022-07-13,FAR1,20
2022-07-14,L5b,120
2022-07-14,L7c1,400
2022-07-18,L5b,60
2022-07-18,LAL,320
2022-07-18,ETJ1,180
2022-07-19,LAG,40
2022-07-20,RIAV1,320
2022-07-20,FAR1,20
2022-07-26,POR2,40
2022-07-26,RIAV1,280
2022-07-26,LAG,20
2022-07-26,L7c1,180
2022-07-27,ETJ1,640
2022-07-27,LAL,20
2022-07-27,RIAV1,680
2022-07-27,FAR1,20
2022-07-27,L5b,2900
2022-07-29,L5b,80
2022-08-01,LAL,360
2022-08-01,ETJ1,340
2022-08-01,L5b,80
2022-08-01,FAR1,20
2022-08-02,L7c1,160
2022-08-03,RIAV1,480
2022-08-09,LAG,20
2022-08-09,POR2,20
2022-08-09,L7c1,80
2022-08-09,RIAV1,200
2022-08-10,L5b,80
2022-08-10,LAL,40
2022-08-10,RIAV1,180
2022-08-10,ETJ1,40
2022-08-10,FAR1,20
2022-08-16,L5b,160
2022-08-16,LAL,80
2022-08-16,RIAV1,4800
2022-08-16,LAG,20
2022-08-22,L7c1,20
2022-08-23,LAG,40
2022-08-23,RIAV1,280
2022-08-23,RIAV1,240
2022-08-24,ETJ1,60
2022-08-24,FAR1,20
2022-08-25,L5b,240
2022-08-25,LAL,20
2022-08-29,LAG,40
2022-08-29,L7c1,20
2022-08-29,ETJ1,20
2022-08-29,L5b,20
2022-08-29,LAL,80
2022-08-29,FAR1,20
2022-08-30,RIAV1,80
2022-08-30,RIAV1,740
2022-09-05,L7c1,20
2022-09-05,LAL,80
2022-09-05,L5b,60
2022-09-05,ETJ1,20
2022-09-05,FAR1,20
2022-09-07,RIAV1,160
2022-09-07,RIAV1,240
2022-09-08,L5b,40
2022-09-11,L7c1,240
2022-09-13,FAR1,20
2022-09-13,RIAV1,20
2022-09-14,LAL,1000
2022-09-14,L5b,20
2022-09-14,ETJ1,20
2022-09-19,L5b,20
2022-09-20,LAG,20
2022-09-20,POR2,320
2022-09-20,L7c1,760
2022-09-21,LAL,80
2022-09-21,L5b,40
2022-09-21,ETJ1,20
2022-09-21,FAR1,20
2022-09-21,RIAV1,20
2022-09-26,L7c1,60
2022-09-27,LAG,20
2022-09-27,POR2,20
2022-09-27,RIAV1,40
2022-09-28,RIAV1,180
2022-09-28,FAR1,20
2022-09-29,L5b,20
2022-09-29,ETJ1,20
2022-09-29,LAL,800
2022-10-03,LAL,20
2022-10-03,L5b,20
2022-10-03,L7c1,20
2022-10-03,RIAV1,20
2022-10-03,ETJ1,20
2022-10-04,POR2,120
2022-10-04,LAG,20
2022-10-06,FAR1,20
2022-10-07,L5b,20
2022-10-11,RIAV1,20
2022-10-11,L7c1,780
2022-10-11,LAG,40
2022-10-11,POR2,20
2022-10-12,LAL,280
2022-10-12,ETJ1,20
2022-10-12,RIAV1,40
2022-10-12,L5b,40
2022-10-12,FAR1,20
2022-10-17,L5b,60
2022-10-17,ETJ1,20
2022-10-17,LAL,40
2022-10-17,L7c1,60
2022-10-18,LAG,20
2022-10-18,POR2,280
2022-10-19,FAR1,20
2022-10-19,RIAV1,20
2022-10-21,L5b,20
2022-10-24,FAR1,20
2022-10-25,RIAV1,640
2022-10-25,POR2,240
2022-10-25,LAG,20
2022-10-25,L7c1,260
2022-10-26,RIAV1,20
2022-10-26,LAL,400
2022-10-26,ETJ1,20
2022-10-26,L5b,20
2022-11-02,LAL,920
2022-11-02,ETJ1,20
2022-11-02,RIAV1,20
2022-11-02,L5b,20
2022-11-02,LAG,40
2022-11-02,POR2,20
2022-11-02,L7c1,40
2022-11-03,L5b,20
2022-11-03,FAR1,20
2022-11-07,RIAV1,20
2022-11-08,LAG,20
2022-11-08,L7c1,20
2022-11-08,POR2,20
2022-11-09,RIAV1,60
2022-11-09,LAL,40
2022-11-09,FAR1,20
2022-11-10,ETJ1,20
2022-11-10,L5b,20
2022-11-14,RIAV1,20
2022-11-14,FAR1,20
2022-11-15,L7c1,20
2022-11-16,LAL,20
2022-11-16,L5b,20
2022-11-16,ETJ1,20
2022-11-18,L5b,20
2022-11-21,FAR1,20
2022-11-21,RIAV1,20
2022-11-22,LAG,20
2022-11-22,L7c1,20
2022-11-22,RIAV1,20
2022-11-22,POR2,20
2022-11-23,LAL,400
2022-11-23,L5b,20
2022-11-23,ETJ1,20
2022-11-28,ETJ1,20
2022-11-28,FAR1,20
2022-11-28,LAL,40
2022-11-28,L5b,20
2022-11-28,RIAV1,20
2022-11-29,L7c1,20
2022-12-02,L5b,20
2022-12-05,ETJ1,20
2022-12-05,LAL,80
2022-12-05,L5b,20
2022-12-06,RIAV1,20
2022-12-06,RIAV1,20
2022-12-06,FAR1,20
2022-12-06,LAG,20
2022-12-06,L7c1,20
2022-12-06,POR2,20
2022-12-10,L7c1,20
2022-12-12,FAR1,20
2022-12-13,RIAV1,20
2022-12-14,L5b,20
2022-12-14,ETJ1,20
2022-12-14,LAL,320
2022-12-19,FAR1,20
2022-12-19,L5b,20
2022-12-20,RIAV1,20
2022-12-20,POR2,20
2022-12-20,L7c1,20
2022-12-20,LAG,20
2022-12-21,RIAV1,20
2022-12-22,L5b,20
2022-12-22,LAL,20
2022-12-22,ETJ1,40
2022-12-26,LAG,20
2022-12-26,FAR1,20
2022-12-27,L7c1,40
2022-12-27,RIAV1,20
2022-12-28,ETJ1,20
2022-12-28,LAL,20
2022-12-28,L5b,20
